Nr,Date,SWRos2,SWRos3
277,2014-10-04,22.70025137,14.14293755
278,2014-10-05,22.74427778,14.18929947
279,2014-10-06,22.72640106,14.17172786
280,2014-10-07,22.73556537,14.18273738
281,2014-10-08,25.65582911,17.10562459
282,2014-10-09,26.81157921,18.17887376
283,2014-10-10,27.08763663,18.40069651
284,2014-10-11,26.59175775,17.86713101
285,2014-10-12,26.26117183,17.51142067
286,2014-10-13,26.04078122,17.27428045
287,2014-10-14,26.02316168,17.24870284
288,2014-10-15,25.88210779,17.09913523
289,2014-10-16,25.78807186,16.99942348
290,2014-10-17,25.72538124,16.93294899
291,2014-10-18,25.68358749,16.88863266
292,2014-10-19,26.49991306,17.70918973
293,2014-10-20,26.24381035,17.45003367
294,2014-10-21,26.0292069,17.23335578
295,2014-10-22,25.88613793,17.08890385
296,2014-10-23,25.90742159,17.11133517
297,2014-10-24,28.21201825,19.41479864
298,2014-10-25,28.47147995,19.67365017
299,2014-10-26,27.51431997,18.71576678
300,2014-10-27,26.87621331,18.07717785
301,2014-10-28,26.46513377,17.66653983
302,2014-10-29,26.23477817,17.43880893
303,2014-10-30,26.03751389,17.2409658
304,2014-10-31,25.89167593,17.0939772
305,2014-11-01,25.79445062,16.9959848
306,2014-11-02,26.80721082,18.01554351
307,2014-11-03,26.99128776,18.19714891
308,2014-11-04,26.52752517,17.73143261
309,2014-11-05,26.21835011,17.42095507
310,2014-11-06,26.01223341,17.21397005
311,2014-11-07,25.87482227,17.07598003
312,2014-11-08,25.78321485,16.98398669
313,2014-11-09,25.83546785,17.04099543
314,2014-11-10,25.85474944,17.05911206
315,2014-11-11,26.03912053,17.24289104
316,2014-11-12,25.89274702,17.09560501
317,2014-11-13,25.79516468,16.99707001
318,2014-11-14,25.73010979,16.93138
319,2014-11-15,25.68673986,16.88989258
320,2014-11-16,25.68132338,16.88643841
321,2014-11-17,25.65678922,16.86141773
322,2014-11-18,25.63945812,16.84387063
323,2014-11-19,25.62849684,16.83269533
324,2014-11-20,25.61899789,16.82179689
325,2014-11-21,25.61352906,16.81794857
326,2014-11-22,25.60901937,16.81274217
327,2014-11-23,25.60700517,16.81088272
328,2014-11-24,27.69897504,18.90241527
329,2014-11-25,27.37088428,18.57401806
330,2014-11-26,26.78193273,17.98467483
331,2014-11-27,26.38795515,17.5902573
332,2014-11-28,26.12566542,17.32794116
333,2014-11-29,25.95107818,17.15299981
334,2014-11-30,25.83405212,17.0353332
335,2014-12-01,25.75603475,16.95750553
336,2014-12-02,25.70406984,16.90545214
337,2014-12-03,25.79350889,16.99462597
338,2014-12-04,25.72900593,16.92977331
339,2014-12-05,25.71006957,16.91083895
340,2014-12-06,25.67339089,16.8740062
341,2014-12-07,25.64892726,16.84933747
342,2014-12-08,25.63261817,16.83289165
343,2014-12-09,25.62174545,16.82192776
344,2014-12-10,27.23537737,18.43569516
345,2014-12-11,27.37845023,18.57863957
346,2014-12-12,26.90884847,18.10894225
347,2014-12-13,26.47256565,17.67262817
348,2014-12-14,26.18171043,17.38175211
