Date	airTmean	airTmax	airTmin	Radiation	VP	Veg	CO2
2015-03-20	-2.6	0.2	-8.4	NaN	3	0	397.202971875
2015-03-21	-6.9	-1.5	-12.2	NaN	2	0	397.388421875
2015-03-22	-4.1	1.9	-12.4	NaN	3.8	0	397.888011979167
2015-03-23	1	2.6	-0.2	NaN	6.3	0	398.689112666667
2015-03-24	-2.8	1.7	-8.7	NaN	3.8	0	399.040859375
2015-03-25	-6.8	0.7	-14.5	NaN	2.1	0	397.851890625
2015-03-26	-5.3	0.5	-14	NaN	2.4	0	397.991793975
2015-03-27	-1	2.3	-3	NaN	4.1	0	400.801854166667
2015-03-28	0	4.6	-2.6	NaN	5.6	0	401.799861291667
2015-03-29	-0.7	0.4	-2.6	NaN	5.6	0	400.451183333333
2015-03-30	0.3	1.6	-0.2	NaN	6	0	402.551703291667
2015-03-31	-0.4	0.8	-2.7	NaN	5.7	0	403.102834391304
2015-04-01	-1.4	4.5	-6	NaN	4.7	0	398.4207475625
2015-04-02	0.2	6.3	-5.6	NaN	4.8	0	399.077266666667
2015-04-03	0.4	5.7	-3.4	NaN	4.8	0	402.005767708333
2015-04-04	0.3	3.5	-4.2	NaN	4.4	0	402.173948791667
2015-04-05	1.4	5.3	-2.5	NaN	5.2	0	402.806539583333
2015-04-06	2.4	7.5	-2.5	NaN	6	0	400.5482359375
2015-04-07	5.6	9.9	0.6	NaN	5.8	0	398.840556770833
2015-04-08	3.7	7.3	0.8	NaN	4.3	0	398.022850520833
2015-04-09	4.7	10.4	0.3	NaN	4.6	0	398.01898125
2015-04-10	3.4	10.4	-2.5	NaN	4.9	0	398.192594958333
2015-04-11	2.9	8.6	-2.4	NaN	4.9	0	397.733114229167
2015-04-12	1.6	4.6	-0.2	NaN	6.6	0	398.293148958333
2015-04-13	1.4	2.8	-0.2	NaN	5.8	0	397.846408333333
2015-04-14	0.3	2.1	-1.4	NaN	5.4	0	397.645038020833
2015-04-15	0.5	4.1	-3.3	NaN	5.7	0	397.334563068182
2015-04-16	1.3	5.1	-0.5	NaN	6.1	0	399.688520833333
2015-04-17	3.4	8.5	0.1	NaN	5.5	0	400.197973083333
2015-04-18	3.4	8	-0.9	NaN	5.2	0	398.626880041667
2015-04-19	7.2	13.3	1.9	NaN	5.3	0	398.444105895833
2015-04-20	6	11.9	-0.5	NaN	5.6	0	397.794869625
2015-04-21	7.1	13.9	-0.8	NaN	6.1	0	396.3541265625
2015-04-22	5	9.3	1.2	NaN	5	0	397.661384375
2015-04-23	3	7	-0.1	NaN	5.2	0	397.316694270833
2015-04-24	1.5	7.6	-2.7	NaN	5.3	0	397.2870109375
